Team,Year,Rank
Iowa,2009,7
Cincinnati,2009,8
Penn State,2009,9
Virginia Tech,2009,10
Oregon,2009,11
BYU,2009,12
Georgia Tech,2009,13
Nebraska,2009,14
Pittsburgh,2009,15
Wisconsin,2009,16
LSU,2009,17
Utah,2009,18
Miami (FL),2009,19
Ole Miss,2009,20
Texas Tech,2009,21
USC,2009,22
Central Michigan,2009,23
Clemson,2009,24
West Virginia,2009,25
Florida,2008,1
Utah,2008,2
USC,2008,3
Texas,2008,4
Oklahoma,2008,5
Alabama,2008,6
TCU,2008,7
Penn State,2008,8
Ohio State,2008,9
Oregon,2008,10
Boise State,2008,11
Texas Tech,2008,12
Georgia,2008,13
Ole Miss,2008,14
Virginia Tech,2008,15
Oklahoma State,2008,16
Cincinnati,2008,17
Oregon State,2008,18
Missouri,2008,19
Iowa,2008,20
Florida State,2008,21
Georgia Tech,2008,22
West Virginia,2008,23
Michigan State,2008,24
BYU,2008,25
LSU,2007,1
Georgia,2007,2
USC,2007,3
Missouri,2007,4
Ohio State,2007,5
West Virginia,2007,6
Kansas,2007,7
Oklahoma,2007,8
Virginia Tech,2007,9
Texas,2007,10
Boston College,2007,11
Tennessee,2007,12
Florida,2007,13
BYU,2007,14
Auburn,2007,15
Arizona State,2007,16
Cincinnati,2007,17
Michigan,2007,18
Hawaii,2007,19
Illinois,2007,20
Clemson,2007,21
Texas Tech,2007,22
Oregon,2007,23
Wisconsin,2007,24
Oregon State,2007,25
Florida,2006,1
Ohio State,2006,2
LSU,2006,3
USC,2006,4
Boise State,2006,5
Louisville,2006,6
Wisconsin,2006,7
Michigan,2006,8
Auburn,2006,9
West Virginia,2006,10
Oklahoma,2006,11
Rutgers,2006,12
Texas,2006,13
California,2006,14
Arkansas,2006,15
BYU,2006,16
Notre Dame,2006,17
Wake Forest,2006,18
Virginia Tech,2006,19
Boston College,2006,20
Oregon State,2006,21
TCU,2006,22
Georgia,2006,23
Penn State,2006,24
Tennessee,2006,25
Texas,2005,1
USC,2005,2
Penn State,2005,3
Ohio State,2005,4
West Virginia,2005,5
LSU,2005,6
Virginia Tech,2005,7
Alabama,2005,8
Notre Dame,2005,9
Georgia,2005,10
TCU,2005,11
Oregon,2005,12
Florida,2005,13
Auburn,2005,14
Wisconsin,2005,15
UCLA,2005,16
Miami (FL),2005,17
Boston College,2005,18
Louisville,2005,19
Texas Tech,2005,20
Clemson,2005,21
Oklahoma,2005,22
Florida State,2005,23
Nebraska,2005,24
California,2005,25
USC,2004,1
Auburn,2004,2
Oklahoma,2004,3
Utah,2004,4
Texas,2004,5
Louisville,2004,6
Georgia,2004,7
Iowa,2004,8
California,2004,9
Virginia Tech,2004,10
Miami (FL),2004,11
Boise State,2004,12
Tennessee,2004,13
Michigan,2004,14
Florida State,2004,15
LSU,2004,16
Wisconsin,2004,17
Texas Tech,2004,18
Arizona State,2004,19
Ohio State,2004,20
Boston College,2004,21
Fresno State,2004,22
Virginia,2004,23
Navy,2004,24
Pittsburgh,2004,25
USC,2003,1
LSU,2003,2
Oklahoma,2003,3
Ohio State,2003,4
Miami (FL),2003,5
Michigan,2003,6
Georgia,2003,7
Iowa,2003,8
Washington State,2003,9
Miami (OH),2003,10
Florida State,2003,11
Texas,2003,12
Ole Miss,2003,13
Kansas State,2003,14
Tennessee,2003,15
Boise State,2003,16
Maryland,2003,17
Purdue,2003,18
Nebraska,2003,19
Minnesota,2003,20
Utah,2003,21
Clemson,2003,22
Bowling Green,2003,23
Florida,2003,24
TCU,2003,25
Ohio State,2002,1
Miami (FL),2002,2
Georgia,2002,3
USC,2002,4
Oklahoma,2002,5
Texas,2002,6
Kansas State,2002,7
Iowa,2002,8
Michigan,2002,9
Washington State,2002,10
Alabama,2002,11
North Carolina State,2002,12
Maryland,2002,13
Auburn,2002,14
Boise State,2002,15
Penn State,2002,16
Notre Dame,2002,17
Virginia Tech,2002,18
Pittsburgh,2002,19
Colorado,2002,20
Florida State,2002,21
Virginia,2002,22
TCU,2002,23
Marshall,2002,24
West Virginia,2002,25
